x,T_K,Dn_m2_per_s,Dp_m2_per_s
0.567704,298.00,4.000000e-15,4.000000e-15
0.572719,298.00,4.000000e-15,4.000000e-15
0.577734,298.00,4.000000e-15,4.000000e-15
0.582749,298.00,4.000000e-15,4.000000e-15
0.587764,298.00,4.000000e-15,4.000000e-15
0.592779,298.00,4.000000e-15,4.000000e-15
0.597794,298.00,4.000000e-15,4.000000e-15
0.602809,298.00,4.000000e-15,4.000000e-15
0.607824,298.00,4.000000e-15,4.000000e-15
0.612839,298.00,4.000000e-15,4.000000e-15
0.617854,298.00,4.000000e-15,4.000000e-15
0.622869,298.00,4.000000e-15,4.000000e-15
0.627884,298.00,4.000000e-15,4.000000e-15
0.632899,298.00,4.000000e-15,4.000000e-15
0.637915,298.00,4.000000e-15,4.000000e-15
0.642930,298.00,4.000000e-15,4.000000e-15
0.647945,298.00,4.000000e-15,4.000000e-15
0.652960,298.00,4.000000e-15,4.000000e-15
0.657975,298.00,4.000000e-15,4.000000e-15
0.662990,298.00,4.000000e-15,4.000000e-15
0.668005,298.00,4.000000e-15,4.000000e-15
0.673020,298.00,4.000000e-15,4.000000e-15
0.678035,298.00,4.000000e-15,4.000000e-15
0.683050,298.00,4.000000e-15,4.000000e-15
0.688065,298.00,4.000000e-15,4.000000e-15
0.693080,298.00,4.000000e-15,4.000000e-15
0.698095,298.00,4.000000e-15,4.000000e-15
0.703111,298.00,4.000000e-15,4.000000e-15
0.708126,298.00,4.000000e-15,4.000000e-15
0.713141,298.00,4.000000e-15,4.000000e-15
0.718156,298.00,4.000000e-15,4.000000e-15
0.723171,298.00,4.000000e-15,4.000000e-15
0.728186,298.00,4.000000e-15,4.000000e-15
0.733201,298.00,4.000000e-15,4.000000e-15
0.738216,298.00,4.000000e-15,4.000000e-15
0.743231,298.00,4.000000e-15,4.000000e-15
0.748246,298.00,4.000000e-15,4.000000e-15
0.753261,298.00,4.000000e-15,4.000000e-15
0.758276,298.00,4.000000e-15,4.000000e-15
0.763291,298.00,4.000000e-15,4.000000e-15
0.768307,298.00,4.000000e-15,4.000000e-15
0.773322,298.00,4.000000e-15,4.000000e-15
