x,Up_V,Un_V,OCV_V,Up_nd,Un_nd,OCV_nd
0.13672800,4.55891812,0.28686144,4.27205668,177.53036230,11.17076788,166.35959441
0.13722700,4.55838872,0.28551058,4.27287814,177.50974683,11.11816348,166.39158335
0.13772600,4.55785766,0.28417623,4.27368143,177.48906653,11.06620211,166.42286442
0.13822500,4.55732491,0.28285859,4.27446632,177.46832057,11.01489137,166.45342920
0.13872400,4.55679046,0.28155783,4.27523262,177.44750815,10.96423823,166.48326992
0.13922300,4.55625427,0.28027413,4.27598014,177.42662843,10.91424898,166.51237945
0.13972200,4.55571634,0.27900761,4.27670872,177.40568058,10.86492926,166.54075132
0.14022100,4.55517663,0.27775842,4.27741821,177.38466376,10.81628404,166.56837972
0.14072000,4.55463514,0.27652666,4.27810847,177.36357710,10.76831765,166.59525945
0.14121900,4.55409182,0.27531243,4.27877939,177.34241974,10.72103377,166.62138598
0.14171800,4.55354667,0.27411580,4.27943087,177.32119082,10.67443545,166.64675537
0.14221700,4.55299966,0.27293684,4.28006282,177.29988944,10.62852511,166.67136433
0.14271600,4.55245076,0.27177559,4.28067517,177.27851472,10.58330456,166.69521016
0.14321500,4.55189996,0.27063209,4.28126788,177.25706575,10.53877501,166.71829074
0.14371400,4.55134723,0.26950634,4.28184089,177.23554162,10.49493707,166.74060456
0.14421300,4.55079254,0.26839836,4.28239418,177.21394142,10.45179078,166.76215064
0.14471200,4.55023588,0.26730813,4.28292775,177.19226420,10.40933563,166.78292857
0.14521100,4.54967722,0.26623562,4.28344160,177.17050903,10.36757054,166.80293849
0.14571000,4.54911652,0.26518078,4.28393574,177.14867496,10.32649394,166.82218102
0.14620900,4.54855378,0.26414358,4.28441021,177.12676103,10.28610372,166.84065731
0.14670800,4.54798896,0.26312393,4.28486504,177.10476627,10.24639729,166.85836898
0.14720700,4.54742205,0.26212176,4.28530028,177.08268969,10.20737157,166.87531812
0.14770600,4.54685300,0.26113698,4.28571602,177.06053031,10.16902305,166.89150726
0.14820500,4.54628180,0.26016950,4.28611231,177.03828713,10.13134776,166.90693936
0.14870400,4.54570843,0.25921918,4.28648924,177.01595912,10.09434133,166.92161779
0.14920300,4.54513285,0.25828592,4.28684692,176.99354529,10.05799898,166.93554631
0.14970200,4.54455504,0.25736959,4.28718545,176.97104458,10.02231554,166.94872904
0.15020100,4.54397497,0.25647003,4.28750494,176.94845596,9.98728550,166.96117045
0.15070000,4.54339262,0.25558710,4.28780552,176.92577838,9.95290301,166.97287537
0.15119900,4.54280795,0.25472064,4.28808732,176.90301077,9.91916187,166.98384890
0.15169800,4.54222095,0.25387048,4.28835047,176.88015206,9.88605561,166.99409645
0.15219700,4.54163158,0.25303645,4.28859513,176.85720117,9.85357745,167.00362372
0.15269600,4.54103981,0.25221837,4.28882144,176.83415700,9.82172036,167.01243664
0.15319500,4.54044562,0.25141605,4.28902957,176.81101844,9.79047705,167.02054139
0.15369400,4.53984898,0.25062931,4.28921967,176.78778439,9.75984003,167.02794436
0.15419300,4.53924986,0.24985793,4.28939193,176.76445370,9.72980155,167.03465215
0.15469200,4.53864822,0.24910172,4.28954650,176.74102526,9.70035371,167.04067155
0.15519100,4.53804405,0.24836047,4.28968358,176.71749790,9.67148841,167.04600949
0.15569000,4.53743730,0.24763396,4.28980334,176.69387047,9.64319738,167.05067308
0.15618900,4.53682796,0.24692199,4.28990597,176.67014179,9.61547223,167.05466956
0.15668800,4.53621598,0.24622433,4.28999165,176.64631070,9.58830443,167.05800627
0.15718700,4.53560135,0.24554076,4.29006059,176.62237598,9.56168531,167.06069067
0.15768600,4.53498402,0.24487106,4.29011296,176.59833645,9.53560614,167.06273032
0.15818500,4.53436397,0.24421499,4.29014898,176.57419089,9.51005807,167.06413282
0.15868400,4.53374117,0.24357234,4.29016883,176.54993807,9.48503219,167.06490588
0.15918300,4.53311558,0.24294286,4.29017272,176.52557676,9.46051954,167.06505722
0.15968200,4.53248717,0.24232633,4.29016084,176.50110571,9.43651108,167.06459462
0.16018100,4.53185591,0.24172252,4.29013339,176.47652365,9.41299777,167.06352588
0.16068000,4.53122177,0.24113119,4.29009058,176.45182934,9.38997052,167.06185881
0.16117900,4.53058471,0.24055210,4.29003261,176.42702147,9.36742024,167.05960124
0.16167800,4.52994471,0.23998503,4.28995967,176.40209877,9.34533781,167.05676096
0.16217700,4.52930172,0.23942975,4.28987197,176.37705993,9.32371415,167.05334577
0.16267600,4.52865571,0.23888600,4.28976971,176.35190363,9.30254017,167.04936345
0.16317500,4.52800666,0.23835358,4.28965308,176.32662855,9.28180682,167.04482173
0.16367400,4.52735452,0.23783224,4.28952228,176.30123337,9.26150506,167.03972830
0.16417300,4.52669926,0.23732175,4.28937751,176.27571672,9.24162591,167.03409081
