x,Up_V,Un_V,OCV_V
0.21806500,4.42892081,0.21038523,4.21853558
0.21856400,4.42768506,0.21019099,4.21749407
0.21906300,4.42644214,0.20999568,4.21644646
0.21956200,4.42519203,0.20979925,4.21539279
0.22006100,4.42393474,0.20960168,4.21433306
0.22056000,4.42267025,0.20940294,4.21326730
0.22105900,4.42139857,0.20920302,4.21219555
0.22155800,4.42011970,0.20900188,4.21111782
0.22205700,4.41883365,0.20879950,4.21003414
0.22255600,4.41754041,0.20859586,4.20894455
0.22305500,4.41624001,0.20839094,4.20784906
0.22355400,4.41493244,0.20818471,4.20674772
0.22405300,4.41361772,0.20797716,4.20564056
0.22455200,4.41229586,0.20776826,4.20452760
0.22505100,4.41096688,0.20755799,4.20340889
0.22555000,4.40963080,0.20734634,4.20228446
0.22604900,4.40828763,0.20713328,4.20115435
0.22654800,4.40693741,0.20691880,4.20001860
0.22704700,4.40558015,0.20670289,4.19887726
0.22754600,4.40421588,0.20648552,4.19773036
0.22804500,4.40284464,0.20626667,4.19657796
0.22854400,4.40146645,0.20604635,4.19542010
0.22904300,4.40008135,0.20582452,4.19425684
0.22954200,4.39868939,0.20560118,4.19308821
0.23004100,4.39729059,0.20537631,4.19191428
0.23054000,4.39588501,0.20514990,4.19073511
0.23103900,4.39447268,0.20492194,4.18955074
0.23153800,4.39305367,0.20469242,4.18836125
0.23203700,4.39162801,0.20446133,4.18716669
0.23253600,4.39019578,0.20422865,4.18596712
0.23303500,4.38875701,0.20399438,4.18476263
0.23353400,4.38731178,0.20375852,4.18355327
0.23403300,4.38586015,0.20352104,4.18233911
0.23453200,4.38440219,0.20328195,4.18112024
0.23503100,4.38293796,0.20304124,4.17989672
0.23553000,4.38146755,0.20279890,4.17866865
0.23602900,4.37999102,0.20255493,4.17743609
0.23652800,4.37850847,0.20230932,4.17619914
0.23702700,4.37701996,0.20206208,4.17495788
0.23752600,4.37552560,0.20181318,4.17371241
0.23802500,4.37402546,0.20156265,4.17246281
0.23852400,4.37251965,0.20131046,4.17120919
0.23902300,4.37100827,0.20105662,4.16995164
0.23952200,4.36949140,0.20080114,4.16869027
0.24002100,4.36796917,0.20054400,4.16742517
0.24052000,4.36644168,0.20028522,4.16615646
0.24101900,4.36490904,0.20002479,4.16488425
0.24151800,4.36337136,0.19976271,4.16360866
0.24201700,4.36182878,0.19949899,4.16232979
0.24251600,4.36028140,0.19923363,4.16104777
0.24301500,4.35872937,0.19896664,4.15976273
0.24351400,4.35717281,0.19869801,4.15847479
0.24401300,4.35561185,0.19842777,4.15718408
0.24451200,4.35404664,0.19815590,4.15589074
0.24501100,4.35247732,0.19788243,4.15459490
0.24551000,4.35090404,0.19760735,4.15329670
0.24600900,4.34932695,0.19733067,4.15199628
0.24650800,4.34774620,0.19705241,4.15069380
0.24700700,4.34616196,0.19677257,4.14938939
0.24750600,4.34457439,0.19649117,4.14808322
0.24800500,4.34298365,0.19620821,4.14677544
0.24850400,4.34138992,0.19592370,4.14546622
0.24900300,4.33979337,0.19563766,4.14415570
0.24950200,4.33819418,0.19535011,4.14284407
0.25000100,4.33659254,0.19506105,4.14153149
0.25050000,4.33498863,0.19477049,4.14021813
