coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
487,1426,1266,3029,2869,1.2911615999999982e-7,1
488,1266,1106,2869,2709,1.2911616000000019e-7,1
489,1106,946,2709,2549,1.2911616000000003e-7,1
490,946,866,2549,2469,6.455808e-8,1
491,866,786,2469,2389,6.455808e-8,1
492,786,706,2389,2309,6.455808000000001e-8,1
493,706,626,2309,2229,6.455807999999996e-8,1
494,626,546,2229,2149,6.455807999999996e-8,1
495,546,1666,2149,3269,9.0381312e-7,1
496,1666,466,3269,2069,9.683711999999998e-7,1
497,466,306,2069,1909,1.2911616e-7,1
498,306,386,1909,1989,6.455807999999997e-8,1
499,386,1506,1989,3109,9.038131200000001e-7,1
500,1506,226,3109,1829,1.03292928e-6,1
501,226,1346,1829,2949,9.038131200000002e-7,1
502,1346,146,2949,1749,9.683712000000003e-7,1
503,146,1186,1749,2789,8.392550399999999e-7,1
504,1186,1026,2789,2629,1.2911616000000003e-7,1
505,1026,1587,2629,3190,4.652579731514711e-7,1
506,1587,1427,3190,3030,1.2911616e-7,1
507,1427,1267,3030,2870,1.2911616000000003e-7,1
508,1267,1107,2870,2710,1.291161600000001e-7,1
509,1107,947,2710,2550,1.2911615999999992e-7,1
510,947,1667,2550,3270,5.810227200000001e-7,1
511,1667,1507,3270,3110,1.2911616e-7,1
512,1507,1347,3110,2950,1.2911615999999992e-7,1
513,1347,1187,2950,2790,1.2911616000000013e-7,1
514,1187,1027,2790,2630,1.2911616000000003e-7,1
515,1027,867,2630,2470,1.2911615999999992e-7,1
516,867,787,2470,2390,6.455808000000008e-8,1
517,787,707,2390,2310,6.455807999999996e-8,1
518,707,627,2310,2230,6.455807999999997e-8,1
