===== JuBat Debug Log 1764687579 =====
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6666370849710781 W (nd=5.1922366785105485)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6651287294633633 W (nd=5.180488549029079)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6635701806265456 W (nd=5.168349478733992)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6619788484513647 W (nd=5.155955068830999)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6603697524231543 W (nd=5.143422301594862)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6587612790009963 W (nd=5.1308943836508725)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6571677476115699 W (nd=5.1184828447265165)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6556052729614791 W (nd=5.106313197447148)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.654084742245747 W (nd=5.0944702389154175)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6526180542748071 W (nd=5.083046645403552)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6512115981279327 W (nd=5.072092179537263)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6498728000038246 W (nd=5.061664681754993)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6486039298539781 W (nd=5.051781832029365)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6474087483765076 W (nd=5.042472921312122)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6462864448995543 W (nd=5.033731635522853)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6452382321665155 W (nd=5.025567420356813)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6442613076699417 W (nd=5.017958447922485)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6433553349599005 W (nd=5.010902097712071)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6425163957937274 W (nd=5.004367851706492)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6417433510847058 W (nd=4.99834683790033)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6410317862178236 W (nd=4.9928046721788935)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6403802648397872 W (nd=4.987730167216389)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6397842795616618 W (nd=4.983088216309819)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6392424151895109 W (nd=4.978867796937288)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6387503168172934 W (nd=4.975034990039402)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6383067769247035 W (nd=4.971580390602008)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6379077299465877 W (nd=4.968472333155262)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6375522745110735 W (nd=4.9657037971835)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6372367005426118 W (nd=4.963245886018985)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.636960455148387 W (nd=4.9610942933451)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6367202058305008 W (nd=4.959223063333392)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6365157563840853 W (nd=4.957630667802882)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6363441478852715 W (nd=4.956294060581392)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.636205529391942 W (nd=4.9552144026361455)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6360972969385676 W (nd=4.954371412459204)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6360199227213421 W (nd=4.9537687678453555)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6359711312876836 W (nd=4.95338874597566)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.635951690140035 W (nd=4.9532373246968735)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6359596216050657 W (nd=4.953299100503493)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6359959573356075 W (nd=4.953582108630573)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6360589839233948 W (nd=4.954073003854088)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.63614996356459 W (nd=4.954781617042075)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.636267411294984 W (nd=4.955696382252873)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6364127840353263 W (nd=4.956828647006031)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6365847873318901 W (nd=4.958168329189002)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6367850350283326 W (nd=4.9597279985468825)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6370123835066472 W (nd=4.961498747781393)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6372685642886924 W (nd=4.963494063197909)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6375525438790253 W (nd=4.965705895209833)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.637866131615181 W (nd=4.968148336205551)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.638208363465215 W (nd=4.970813877628855)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6385810872355318 W (nd=4.973716911490637)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6389833688075741 W (nd=4.976850162221112)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6394170568236651 W (nd=4.980228028341891)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6398812099764362 W (nd=4.983843178291685)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6403776431424228 W (nd=4.987709747600497)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6409053745281058 W (nd=4.991820089372532)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6414661550616095 W (nd=4.996187841062762)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.642058934393946 W (nd=5.000804821817372)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6426853751500207 W (nd=5.005683981323996)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6433443368665328 W (nd=5.010816436855414)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6440373764035857 W (nd=5.016214314328883)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6447632488894351 W (nd=5.021867917811073)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6455233952025189 W (nd=5.0277884698727675)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6463164588999134 W (nd=5.033965405586126)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6471437612700096 W (nd=5.04040901607086)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6480038331458853 W (nd=5.047107858425649)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6488978776988933 W (nd=5.0540713037919565)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6498243160725745 W (nd=5.0612870549294975)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6507842379101152 W (nd=5.068763598742835)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6517759599259919 W (nd=5.076487824624966)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6528004641210449 W (nd=5.084467381086443)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6538559686919165 W (nd=5.0926883901943505)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.654943353907339 W (nd=5.101157708098307)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6560607450345749 W (nd=5.109860733066274)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6572089258359692 W (nd=5.1188035695885175)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6583859333846652 W (nd=5.127970929015406)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6595924590830253 W (nd=5.13736819647295)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6608264553378012 W (nd=5.146979423870342)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6620885237416961 W (nd=5.156809296833046)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6633765338376241 W (nd=5.166841221868628)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6646909979774107 W (nd=5.177079189532073)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6660297023814815 W (nd=5.187505957357031)
