coh_id,n1_bot,n2_bot,n4_top,n3_top,length,interface_type
249,4035,4036,34323,34324,1.515173557876519e-8,PE_PCC
250,4036,4037,34324,34325,1.5164250895569013e-8,PE_PCC
251,4037,4038,34325,34326,1.5176766218150827e-8,PE_PCC
252,4038,4039,34326,34327,1.5189281546498522e-8,PE_PCC
253,4039,4040,34327,34328,1.5201796880597217e-8,PE_PCC
254,4040,4041,34328,34329,1.521431222043338e-8,PE_PCC
255,4041,4042,34329,34330,1.522682756599072e-8,PE_PCC
256,4042,4043,34330,34331,1.5239342917257175e-8,PE_PCC
257,4043,4044,34331,34332,1.5251858274218275e-8,PE_PCC
258,4044,4045,34332,34333,1.5264373636859698e-8,PE_PCC
259,4045,4046,34333,34334,1.5276889005168396e-8,PE_PCC
260,4046,4047,34334,34335,1.5289404379128144e-8,PE_PCC
261,4047,4048,34335,34336,1.5301919758727384e-8,PE_PCC
262,4048,4049,34336,34337,1.5314435143951496e-8,PE_PCC
263,4049,4050,34337,34338,1.5326950534787446e-8,PE_PCC
264,4050,4051,34338,34339,1.533946593121926e-8,PE_PCC
265,4051,4052,34339,34340,1.5351981333235518e-8,PE_PCC
266,4052,4053,34340,34341,1.5364496740821782e-8,PE_PCC
267,4053,4054,34341,34342,1.5377012153964487e-8,PE_PCC
268,4054,4055,34342,34343,1.5389527572650877e-8,PE_PCC
269,4055,4056,34343,34344,1.5402042996865033e-8,PE_PCC
270,4056,4057,34344,34345,1.5414558426595883e-8,PE_PCC
271,4057,4058,34345,34346,1.54270738618292e-8,PE_PCC
272,4058,4059,34346,34347,1.5439589302552393e-8,PE_PCC
273,4059,4060,34347,34348,1.545210474874977e-8,PE_PCC
274,4060,4061,34348,34349,1.5464620200410385e-8,PE_PCC
275,4061,4062,34349,34350,1.5477135657520215e-8,PE_PCC
276,4062,4063,34350,34351,1.5489651120066046e-8,PE_PCC
277,4063,4064,34351,34352,1.550216658803546e-8,PE_PCC
278,4064,4065,34352,34353,1.5514682061413047e-8,PE_PCC
279,4065,4066,34353,34354,1.5527197540188013e-8,PE_PCC
280,4066,4067,34354,34355,1.5539713024346606e-8,PE_PCC
281,4067,4068,34355,34356,1.5552228513876565e-8,PE_PCC
282,4068,4069,34356,34357,1.5564744008762558e-8,PE_PCC
283,4069,4070,34357,34358,1.5577259508994106e-8,PE_PCC
284,4070,4071,34358,34359,1.558977501455749e-8,PE_PCC
285,4071,4072,34359,34360,1.5602290525439852e-8,PE_PCC
286,4072,4073,34360,34361,1.5614806041629263e-8,PE_PCC
287,4073,4074,34361,34362,1.562732156311051e-8,PE_PCC
288,4074,4075,34362,34363,1.5639837089873465e-8,PE_PCC
289,4075,4076,34363,34364,1.565235262190439e-8,PE_PCC
290,4076,4077,34364,34365,1.566486815919169e-8,PE_PCC
291,4077,4078,34365,34366,1.5677383701720162e-8,PE_PCC
292,4078,4079,34366,34367,1.5689899249479858e-8,PE_PCC
293,4079,4080,34367,34368,1.5702414802457422e-8,PE_PCC
294,4080,4081,34368,34369,1.571493036064029e-8,PE_PCC
295,4081,4082,34369,34370,1.5727445924016912e-8,PE_PCC
296,4082,4083,34370,34371,1.5739961492572517e-8,PE_PCC
297,4083,4084,34371,34372,1.5752477066297108e-8,PE_PCC
298,4084,4085,34372,34373,1.5764992645177647e-8,PE_PCC
299,4085,4086,34373,34374,1.5777508229202496e-8,PE_PCC
300,4086,4087,34374,34375,1.5790023818357248e-8,PE_PCC
301,4087,4088,34375,34376,1.5802539412632035e-8,PE_PCC
302,4088,4089,34376,34377,1.581505501201378e-8,PE_PCC
303,4089,4090,34377,34378,1.582757061649052e-8,PE_PCC
304,4090,4091,34378,34379,1.5840086226050855e-8,PE_PCC
305,4091,4092,34379,34380,1.5852601840680526e-8,PE_PCC
