capacity [A.h],voltage [V],temperature [K],temperature max [K]
1.8106249999999946,3.7977630095972805,301.086087160291,301.61886833881994
1.8147916666666613,3.796911128786471,301.0885928724902,301.6221111332261
1.8189583333333281,3.7960650028846246,301.09108996496167,301.62534363104396
1.8231249999999948,3.7952245036013625,301.0935784785793,301.6285658781639
1.8272916666666614,3.7943895342031717,301.09605845406014,301.63177792030746
1.831458333333328,3.7935599505072366,301.0985299319649,301.63497980303805
1.8356249999999947,3.7927356410678996,301.1009929526997,301.63817157176044
1.8397916666666612,3.791916448838073,301.1034475565171,301.6413532717036
1.8439583333333278,3.791102250612549,301.1058937835156,301.6445249479608
1.8481249999999945,3.79029287933869,301.10833167364217,301.6476866454522
1.8522916666666611,3.789488202814773,301.11076126669155,301.6508384089541
1.8564583333333278,3.7886880466351314,301.11318260230814,301.6539802830841
1.8606249999999944,3.7878922721447363,301.1155957199866,301.6571123122853
1.864791666666661,3.787100700006912,301.1180006590722,301.6602345408659
1.8689583333333277,3.7863131874181652,301.1203974587622,301.6633470129717
1.8731249999999944,3.785529552289134,301.1227861581067,301.66644977260034
1.877291666666661,3.7847496497258226,301.1251667960086,301.6695428635956
1.8814583333333277,3.7839732968167117,301.1275394112252,301.67262632965685
1.8856249999999943,3.783200348388341,301.12990404236945,301.6757002143201
1.8897916666666612,3.782430622393214,301.1322607279093,301.6787645609822
1.8939583333333279,3.781663974948941,301.13460950617014,301.6818194128957
1.8981249999999945,3.7809002263229994,301.13695041533435,301.68486481314176
1.9022916666666612,3.7801392352657173,301.13928349344246,301.6879008046548
1.9064583333333278,3.7793808255887407,301.1416087783939,301.6909274302514
1.9106249999999945,3.778624859802825,301.143926307948,301.6939447325905
1.9147916666666611,3.7778711662876057,301.1462361197246,301.6969527541817
1.9189583333333278,3.7771196122454613,301.1485382512049,301.6999515373843
1.9231249999999944,3.7763700314605573,301.15083273973215,301.7029411244089
1.927291666666661,3.7756222965801918,301.15311962251235,301.7059215573528
1.9314583333333277,3.774876247461291,301.1553989366155,301.70889287816414
1.9356249999999944,3.7741317627905633,301.1576707189756,301.7118551286316
1.939791666666661,3.773388689016587,301.15993500639144,301.71480835040103
1.9439583333333272,3.7726469113199763,301.16219183552806,301.7177525849902
1.948124999999994,3.7719062831290966,301.16444124291684,301.72068787379015
1.9522916666666605,3.7711666964510444,301.16668326495676,301.72361425802893
1.9564583333333272,3.7704280119689053,301.1689179379147,301.7265317788138
1.9606249999999938,3.769690128743994,301.1711452979262,301.7294404771193
1.9647916666666605,3.7689529148922185,301.17336538099664,301.73234039376405
1.9689583333333274,3.768216276667684,301.1755782230009,301.7352315694401
1.973124999999994,3.7674800897154332,301.17778385968523,301.7381140447087
1.9772916666666607,3.76674426754602,301.1799823266676,301.74098785999723
1.9814583333333273,3.7660086933616688,301.1821736594383,301.7438530556124
1.985624999999994,3.765273287930943,301.1843578933609,301.74670967170243
1.9897916666666606,3.76453794198502,301.1865350636723,301.7495577483006
1.9939583333333273,3.7638025835011866,301.18870520548427,301.75239732530116
1.998124999999994,3.763067110665642,301.1908683537833,301.7552284424565
2.0022916666666606,3.762331458574147,301.1930245434323,301.758051139426
2.0064583333333275,3.76159553275745,301.1951738091702,301.76086545572656
2.010624999999994,3.76085927530697,301.197316185613,301.76367143072366
2.0147916666666608,3.7601225989588065,301.19945170725526,301.7664691036764
2.018958333333327,3.7593854526519794,301.20158040847014,301.76925851370186
2.023124999999994,3.758647756166614,301.20370232350984,301.7720396998113
2.0272916666666605,3.7579094651219767,301.2058174865061,301.77481270089936
2.0314583333333274,3.7571705061643503,301.20792593147127,301.7775775556887
2.035624999999994,3.7564308414117047,301.21002769229955,301.7803343028017
2.0397916666666607,3.7556904041865438,301.2121228027667,301.78308298075706
2.043958333333327,3.754949162913861,301.2142112965318,301.7858236279413
2.048124999999994,3.7542070573940998,301.2162932071357,301.7885562826162
2.05229166666666,3.753464062160751,301.21836856800456,301.7912809828981
2.056458333333327,3.7527201232885004,301.2204374124484,301.79399776681316
2.0606249999999933,3.7519752212165507,301.22249977366204,301.79670667225434
2.06479166666666,3.7512293080869465,301.22455568472697,301.7994077370063
2.0689583333333266,3.7504823700395837,301.22660517861135,301.80210099872966
2.0731249999999934,3.7497343650755317,301.22864828816927,301.80478649495325
2.0772916666666603,3.7489852848295295,301.23068504614326,301.807464263121
2.0814583333333267,3.748235092953169,301.2327154851643,301.8101343405227
